gene,lfc,fdr
Ttc19,0.07954406706936634,0.004622033010531034
Diras1,0.06938222869564825,0.004631206514949295
Atp5f1,0.1508704913456067,0.0046355663034320874
Sema5b,-0.07460777825820991,0.004920481311618343
Nalcn,-0.07859087032427714,0.004955636582962919
Usmg5,0.15097694352122248,0.004983965366102386
Kcnq3,0.10321590080272347,0.0050213329216914045
Mog,-0.05195329347155596,0.005090901201539696
Pde4a,0.0637773817488653,0.00512647739254776
Cox5a,0.17002553743029458,0.005139657347574273
Serinc1,0.1482267774130801,0.0052071314794494596
Gprasp1,-0.16916401808666637,0.005264510462015945
Fkbp8,0.09402112204188662,0.005336009072276007
Cfdp1,-0.13536879635751253,0.005340279003003036
Uso1,-0.1443078303583496,0.005370705029589018
Cyfip2,0.11208904344256854,0.005382828118888709
Arl6ip1,0.15453701489228278,0.005398554586361314
Reep1,0.10497826387248943,0.005422041641347351
Emc9,0.09129419268495151,0.0054482851444672305
Gstp1,-0.1315473171996988,0.0054482851444672305
Ptprz1,0.08423681239303057,0.0054482851444672305
Puf60,0.004220168282623504,0.0054482851444672305
Lypla2,0.061568865366062236,0.005457280052453164
Nceh1,0.06023910337845577,0.005457280052453164
Tuba1a,0.10464359498093279,0.0054793976064177324
Pcp4,0.08936075223940376,0.005493664468589467
Fam168a,0.09581791342641224,0.005557404762391892
Cycs,0.11721938409801502,0.0056014499516725295
Cacna2d3,0.08803322301289285,0.005665984711653228
Higd1a,0.15365879782662972,0.00567735312541879
Chn2,-0.053658156581407324,0.005757183705133827
Camkv,-0.08362263453764757,0.005924918155255074
Pvalb,0.057638308133428434,0.006111623177097215
Il1rapl1,-0.09547738778381937,0.006161539123687392
Kazn,-0.07811578139580314,0.00621271417021764
Tmem160,0.12234760552106327,0.00621271417021764
Zwint,0.11995960204101896,0.006396033062668635
Gfap,-0.07045612409186719,0.0064712273396374245
Lonrf2,-0.10025257802719686,0.006499258476450263
Selenop,-0.08887608381064699,0.006768923473684567
Vcp,0.1200702083116515,0.006821984653610186
Lpgat1,0.09835691368784974,0.00696229775392263
Azin1,0.08370325436299597,0.007021769651681288
Mir124a-1hg,0.07614691271091803,0.007056934200194231
Hspbp1,0.0901758280566749,0.007077537491317772
Rnf14,0.13146901597156369,0.007645759632784057
Pdia3,-0.04615230845306356,0.00775123296774701
Phykpl,-0.0857572244925068,0.00775123296774701
Mrpl13,-0.09798585097849127,0.00805247797571008
Bpnt1,0.06931161094321987,0.008161805318667684
Stxbp1,0.14273353603581873,0.008239228191577215
Hnrnpk,-0.13449292906418464,0.008256525447946016
Ndufb6,0.1389604170442218,0.008297844248602729
Zfp804b,0.08468999188787166,0.00831495364998017
Ywhag,0.15386519429495715,0.008419875555766137
Sept4,-0.09502431294582228,0.008467296257274621
Gm14325,0.06734900613232286,0.008524944720535207
Bicd1,0.07012733430886745,0.008645747958831877
Myl12b,0.1336033508473986,0.008645747958831877
Prepl,-0.08455652542673,0.008829573788708639
Ctss,-0.06132440159634149,0.008966014217062092
Gm20458,-0.10274259814913933,0.009025312372458398
Epha5,0.09281597184259058,0.00911973311376386
Macc1,0.06966901406221016,0.009306246460245816
Diras2,0.058501858139843904,0.009332051922658107
Nup210l,-0.13151849592977505,0.009378134347345739
Actr1b,0.10015529032559767,0.00963282172385985
Meg3,0.10742059386591607,0.009642995326713104
